iso_alpha,centroid_lon,centroid_lat
AFG,67.69108662318841,34.80365353623188
AGO,16.840492466666664,-10.23970748
ALB,20.10958809090909,41.27321845454545
ARE,54.243401318181824,24.195379136363634
ARG,-65.31775947933885,-38.53493061983471
ARM,45.164243549999995,40.06156279999999
ATA,-16.10529907926829,-73.30325610213416
ATF,69.46083333333334,-49.11861111111111
AUS,134.2579778713693,-25.00841713692946
AUT,13.484573189189188,47.64469881081082
AZE,47.00665347727273,40.15540813636364
BDI,29.955376538461532,-3.3942826923076925
BEL,4.3921904000000005,50.66802046666666
BEN,2.32725276,9.808399960000001
BFA,-1.8503605128205127,12.092759897435899
BGD,90.61132086111111,23.398933861111107
BGR,24.687321107142854,42.893661214285714
BHS,-77.82141428571428,25.735870476190474
BIH,17.89232763636364,44.2548149090909
BLR,28.114469863636362,53.32459715909092
BLZ,-88.63038305,17.4171646
BMU,-64.77013754985381,32.31324546753983
BOL,-64.0187022,-16.521309016666667
BRA,-56.94712460591133,-9.638989354679802
BRN,114.84262737499999,4.628413
BTN,90.61513261538462,27.467787000000005
BWA,24.37675015,-22.387776625
CAF,20.507985967741934,6.329532338709678
CAN,-90.85477861742424,65.26177211363637
CHE,8.306507541666667,46.79685429166667
CHL,-71.2041945877193,-40.966022491228074
CHN,106.04277221666668,36.58500310416667
CIV,-6.233057434782609,7.831305326086957
CMR,13.145333983606557,6.732651573770491
COD,23.013603983606558,-3.771089024590164
COG,14.815730959183673,-1.089300836734694
COL,-72.73793063000001,4.4766495399999995
CRI,-84.17348352777779,9.784893250000003
CUB,-79.73309490476191,21.722816714285717
-99,33.4265471875,35.177307375
CYP,33.32695486666667,35.01916513333333
CZE,15.903553828571427,49.70695368571428
DEU,10.6187505,51.065506258620694
DJI,42.57079386666666,11.810872666666663
DNK,10.249463958333333,56.15645954166666
DOM,-70.4935766923077,18.790197038461535
DZA,3.3498752741935482,29.60248864516129
ECU,-78.85389636363637,-1.7355848181818183
EGY,31.516079523809523,28.243413214285717
ERI,39.79983646428571,14.6448815
ESP,-4.481723274509804,40.26906437254902
EST,25.709913647058823,58.50656894117646
ETH,39.04164320338983,9.101322576271187
FIN,25.771844210526318,65.47707589473686
FJI,97.1520824545455,-16.993540272727277
FLK,-59.585,-51.735
FRA,3.9928658363636367,46.40548819999999
GAB,11.885480806451614,-0.5387664516129033
GBR,-3.6016391250000006,54.07651467857142
GEO,43.43027020833333,42.179316416666666
GHA,-0.92916568,8.08674608
GIN,-10.909395785714286,10.348828257142857
GMB,-15.295172,13.4738033125
GNB,-15.132555052631577,11.908241315789473
GNQ,10.047480142857141,1.4073748571428573
GRC,23.559378555555558,38.885048259259264
GRL,-41.03145590909091,74.14763175757575
GTM,-90.20885597142858,15.508185542857142
GUF,-53.41849784210526,3.460923263157895
GUY,-58.978813724999995,4.643209175
HND,-86.38114605263158,14.711018999999999
HRV,16.43715930952381,44.887555023809526
HTI,-72.7729009047619,18.84919557142857
HUN,19.055115612903226,47.41413716129033
IDN,119.6668769,-3.21713324
IND,83.44489886764707,24.018866154411768
IRL,-7.723323615384617,53.53152307692308
IRN,53.41602012,33.40009669333334
IRQ,44.60624746666666,33.5658232
ISL,-19.2659774,65.27802870000001
ISR,35.201008217391305,32.16029756521739
ITA,12.450261942528732,42.05652791954023
JAM,-77.34805227272727,18.187741363636363
JOR,36.65072505263158,31.132471052631583
JPN,137.16600198461538,37.20227732307692
KAZ,65.1059506875,47.201753624999995
KEN,37.872120891891896,1.2176717567567568
KGZ,73.9767592,41.3637508
KHM,104.94884347058824,12.549848411764707
KOR,127.58190526315789,36.761904421052634
CS-KM,20.965219095238094,42.55534852380952
KWT,47.742474666666666,29.33678833333333
LAO,103.63447108108107,18.285540405405406
LBN,35.85166972727273,33.798193181818185
LBR,-9.115772666666667,6.630890444444446
LBY,16.45698092857143,28.49224398214286
LKA,80.86381909999999,7.6314413000000005
LSO,28.370332416666667,-29.584757416666665
LTU,23.81848784210526,55.13318478947368
LUX,5.981349285714286,49.81208742857143
LVA,24.656921909090908,56.79205409090909
MAR,-9.4636835625,28.76161475
MDA,28.47035211111111,47.04663955555556
MDG,46.98921508163266,-17.971485102040816
MEX,-103.01318771176472,23.835365364705883
MKD,21.582212352941177,41.64608647058824
MLI,-5.810730526315789,14.10814775
MLT,14.370846687499998,35.9616230625
MMR,97.1452077142857,19.99721644285714
MNE,19.431629277777777,42.73648572222223
MNG,104.58542637333333,47.20451505333334
MOZ,34.86552223376623,-17.912592506493507
MRT,-12.299476897435897,18.667714615384615
MWI,34.12693246428571,-12.995803142857142
MYS,109.67769362903226,3.9517154193548394
NAM,17.84777675,-21.647454477272728
NCL,165.51165784615384,-21.17765761538462
NER,8.518535862068966,15.289917586206897
NGA,8.448601482758622,9.70591322413793
NIC,-85.01747005769234,13.081707730769232
NLD,5.585888357142856,52.15860685714286
NOR,18.57685152272727,71.759138375
NPL,84.55865391304349,28.20914130434782
NZL,173.45162322727273,-40.52619875757576
OMN,56.613536489361685,21.48795419148936
PAK,69.40296604545456,30.81521942424243
PAN,-80.32735980769229,8.468009019230768
PER,-74.07779543421053,-7.927868828947368
PHL,122.81031860909094,11.503880936363641
PNG,149.75295654320985,-6.219047790123456
POL,19.287538555555553,51.682448333333326
PRI,-66.43350466666668,18.275953444444443
PRK,127.32909372093022,39.88595465116279
PRT,-8.038668363636363,39.764078545454545
PRY,-57.70684715151515,-23.364773606060602
QAT,51.15130477777778,25.257109333333332
ROU,25.06276036363636,45.911169
RUS,78.35290131772575,61.82826727759198
RWA,29.88792284615385,-1.975919615384615
ESH,-12.032012928571428,24.758574857142857
SAU,43.69693305263158,23.869037394736843
SDN,29.458055481012668,12.933765392405062
SSD,30.14223019047619,8.104298095238095
SEN,-14.591478727272731,13.87752190909091
SLB,159.8473874324324,-8.792477783783784
SLE,-11.620067363636364,8.507121409090908
SLV,-88.84191154999999,13.802652649999999
-99,46.1354255,10.31038275
SOM,47.06657952777778,6.787068805555555
SRB,20.984143326086958,43.819188
SUR,-55.97126096153847,3.8382345769230772
SVK,19.239564909090912,48.77627990909091
SVN,14.995377888888887,46.10708266666667
SWE,17.777173944444446,61.16102670833334
SWZ,31.437017818181815,-26.42025209090909
SYR,38.06399174074074,35.171003
TCD,17.834490034482762,12.879854206896551
TGO,0.9205696315789473,8.62921794736842
THA,100.620356078125,13.148159750000001
TJK,70.86484309756098,38.58847302439025
TKM,58.618187481481485,39.216473407407406
TLS,125.90554309090908,-8.74553581818182
TTO,-61.459375,10.47875
TUN,9.841517870967742,34.016760322580645
TUR,34.6351705522388,39.04240217910448
TWN,121.10506533333334,23.861400666666665
TZA,34.342976428571426,-6.514937469387754
UGA,31.917150296296295,1.2557206666666663
UKR,30.651480020408158,48.463926540816324
URY,-56.13862766666667,-32.69753633333333
USA,-121.35503842437923,45.01284855756207
UZB,65.48460448148148,41.079575351851844
VEN,-66.96679190217391,7.284967380434782
VNM,106.02318279545456,16.956820613636364
VUT,167.18004641666664,-15.707735999999999
PSE,35.25739122222222,31.909246888888887
YEM,46.49669879545454,15.458507568181819
ZAF,25.347076202127653,-28.73635719148937
ZMB,28.011100540983612,-12.849440540983606
ZWE,29.658726567567566,-18.870223000000003
